age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
30-39,white,99,female,99,99,"[44, 8, 21, 17]",43,98
13-19,white,96,female,99,98,"[27, 30, 21, 17]",43,98
20-29,white,96,female,99,99,"[42, 21, 14, 15]",14312,98
20-29,white,58,female,99,99,"[35, 35, 37, 29]",2822,98
20-29,white,99,female,99,99,"[60, 18, 37, 29]",2822,98
20-29,white,89,female,99,89,"[-6, 54, 49, 35]",2822,98
20-29,white,99,female,99,95,"[45, 19, 8, 6]",1866,98
30-39,white,99,female,99,92,"[24, 17, 10, 8]",1866,98
30-39,white,98,female,99,80,"[64, 16, 8, 6]",1866,98
30-39,black or african american,46,male,99,79,"[4, 21, 7, 7]",9762,59
40-49,black or african american,95,male,99,53,"[57, 15, 5, 8]",5775,59
30-39,black or african american,51,male,99,94,"[20, 18, 10, 8]",2429,59
20-29,black or african american,95,male,99,76,"[44, 12, 8, 6]",2429,59
20-29,black or african american,87,male,99,98,"[76, 68, 10, 10]",9119,83
20-29,white,98,female,98,99,"[12, 21, 10, 10]",12789,83
30-39,south asian,50,male,99,87,"[69, 13, 10, 10]",12789,83
40-49,white,93,female,65,85,"[44, 22, 8, 8]",12789,83
30-39,south asian,62,male,99,95,"[27, 35, 12, 12]",4450,83
30-39,hispanic or latino,57,female,99,65,"[67, 38, 12, 12]",4450,83
20-29,hispanic or latino,50,female,99,98,"[45, 36, 12, 22]",1467,83
